[206045465, 237134557, 98501963, 193035196, 7380439]
[93013133, 79078986, 27477927, 85043021, 84166967, 177376372]
[206045465, 25751687, 125958478, 78296307, 75256724, 184513179]
[206045465, 237134557, 98501963, 193035196, 217614723, 184924954]
[206045465, 25751687, 125958478, 194460356, 135388072, 123343390]
[206045465, 237134557, 98501963, 193035196, 86116500, 46813675]
[206045465, 237134557, 98501963, 193035196, 217614723, 65921811]
[206045465, 237134557, 98501963, 193035196, 217614723, 15005897]
[206045465, 25751687, 125958478, 78296307, 75256724, 209620309]
[93013133, 79078986, 20365635, 126967462, 239750714]
[206045465, 237134557, 98501963, 193035196, 217614723, 71655163]
[93013133, 79078986, 27477927, 85043021, 84166967, 81077911]
[93013133, 79078986, 20365635, 126967462, 179682725, 87925222]
[206045465, 237134557, 98501963, 193035196, 127476587, 12617147]
[93013133, 79078986, 20365635, 126967462, 179682725, 50705350]
[206045465, 237134557, 98501963, 193035196, 86116500, 158631433]
[206045465, 25751687, 125958478, 194460356, 135388072, 209445401]
[206045465, 237134557, 98501963, 193035196, 86116500, 16820189]
[206045465, 237134557, 98501963, 193035196, 86116500, 47668876]
[93013133, 79078986, 20365635, 126967462, 244971917]
[206045465, 25751687, 125958478, 78296307, 75256724, 201889734]
[93013133, 79078986, 27477927, 85043021, 236177433, 43723555]
[206045465, 25751687, 125958478, 78296307, 75256724, 152157896]
[93013133, 79078986, 20365635, 126967462, 127163500]
[206045465, 25751687, 125958478, 78296307, 75256724, 189280220]
[206045465, 237134557, 98501963, 193035196, 86116500, 181006512]
[206045465, 237134557, 98501963, 193035196, 7380439, 141309913]
[93013133, 79078986, 20365635, 126967462, 179682725, 242361526]
[206045465, 25751687, 125958478, 194460356, 135388072, 85977237]
[93013133, 79078986, 27477927, 85043021, 236177433, 177418453]
[206045465, 25751687, 125958478, 194460356, 135388072, 22116184]
[93013133, 79078986, 20365635, 126967462, 179682725, 27074119]
[93013133, 79078986, 27477927, 85043021, 236177433, 241735794]
[206045465, 237134557, 98501963, 193035196, 127476587, 112293875]
[93013133, 79078986, 20365635, 126967462, 179682725, 229349745]
[206045465, 25751687, 125958478, 78296307, 75256724, 85272646]
[93013133, 79078986, 27477927, 85043021, 236177433, 71450439]
[93013133, 79078986, 20365635, 126967462, 170677972]
[93013133, 79078986, 27477927, 85043021, 84166967, 246435750]
[93013133, 79078986, 27477927, 85043021, 84166967, 1609515]
[93013133, 79078986, 27477927, 85043021, 84166967, 36923156]
[206045465, 237134557, 98501963, 193035196, 86116500, 103166160]
[206045465, 237134557, 98501963, 193035196, 7380439, 53430374]
[93013133, 79078986, 27477927, 85043021, 84166967, 17588212]
[93013133, 79078986, 20365635, 126967462, 67728390]
[206045465, 25751687, 125958478, 78296307, 75256724, 68980270]
[206045465, 25751687, 125958478, 194460356, 135388072, 145846341]
[206045465, 237134557, 98501963, 193035196, 7380439, 87446097]
[93013133, 79078986, 20365635, 126967462, 179682725, 168871682]
[206045465, 237134557, 98501963, 193035196, 127476587, 5205302]
[93013133, 79078986, 27477927, 85043021, 236177433, 169742220]
[206045465, 25751687, 125958478, 194460356, 135388072, 174590416]
[206045465, 25751687, 125958478, 194460356, 135388072, 98322334]
[206045465, 237134557, 98501963, 193035196, 217614723, 216011873]
[206045465, 25751687, 125958478, 78296307, 75256724, 222733251]
[206045465, 237134557, 98501963, 193035196, 217614723, 95457527]
[93013133, 79078986, 20365635, 126967462, 218966370]
[93013133, 79078986, 27477927, 85043021, 236177433, 155483766]
[206045465, 237134557, 98501963, 193035196, 7380439, 84869055]
[93013133, 79078986, 20365635, 126967462, 179682725, 73950063]
[93013133, 79078986, 27477927, 85043021, 84166967, 235332321]
[206045465, 237134557, 98501963, 193035196, 217614723, 86551296]
[206045465, 237134557, 98501963, 193035196, 127476587, 111341608]
[206045465, 237134557, 98501963, 193035196, 127476587, 218174983]
[93013133, 79078986, 20365635, 126967462, 188868459]
[206045465, 237134557, 98501963, 193035196, 127476587, 87388294]
[93013133, 79078986, 20365635, 126967462, 186037213]
[206045465, 237134557, 98501963, 193035196, 217614723, 2992008]
[206045465, 25751687, 125958478, 78296307, 75256724, 219870915]
[93013133, 79078986, 27477927, 85043021, 236177433, 245929273]
[206045465, 237134557, 98501963, 193035196, 127476587, 49592745]
[206045465, 237134557, 98501963, 193035196, 217614723, 46372035]
[93013133, 79078986, 20365635, 126967462, 179682725, 49406473]
[206045465, 237134557, 98501963, 193035196, 217614723, 8168364]
[93013133, 79078986, 27477927, 85043021, 84166967, 239374255]
[93013133, 79078986, 27477927, 85043021, 84166967, 203027014]
[206045465, 25751687, 125958478, 78296307, 75256724, 210068084]
[206045465, 237134557, 98501963, 193035196, 217614723, 13593281]
[206045465, 237134557, 98501963, 193035196, 217614723, 178442744]
[93013133, 79078986, 20365635, 126967462, 72528633]
[93013133, 79078986, 20365635, 126967462, 137163717]
[206045465, 237134557, 98501963, 193035196, 127476587, 177368470]
[93013133, 79078986, 20365635, 126967462, 225716257]
[93013133, 79078986, 27477927, 85043021, 236177433, 236003887]
[93013133, 79078986, 20365635, 126967462, 179682725, 212782171]
[206045465, 25751687, 125958478, 78296307, 75256724, 199542429]
[93013133, 79078986, 27477927, 85043021, 84166967, 118293380]
[206045465, 237134557, 98501963, 193035196, 86116500, 156766431]
[206045465, 237134557, 98501963, 193035196, 127476587, 153021642]
[206045465, 25751687, 125958478, 78296307, 75256724, 192909237]
[93013133, 79078986, 20365635, 126967462, 207908860]
[93013133, 79078986, 27477927, 85043021, 236177433, 82285008]
[206045465, 237134557, 98501963, 193035196, 7380439, 89464084]
[206045465, 237134557, 98501963, 193035196, 127476587, 233226391]
[93013133, 79078986, 20365635, 126967462, 179682725, 122633315]
[206045465, 25751687, 125958478, 194460356, 135388072, 54007872]
[93013133, 79078986, 27477927, 85043021, 236177433, 175803669]
[206045465, 25751687, 125958478, 194460356, 135388072, 214370605]
[206045465, 237134557, 98501963, 193035196, 86116500, 53853417]
[206045465, 25751687, 125958478, 194460356, 135388072, 157351111]
[206045465, 237134557, 98501963, 193035196, 127476587, 129762907]
[93013133, 79078986, 20365635, 126967462, 218059101]
[93013133, 79078986, 20365635, 126967462, 197382232]
[93013133, 79078986, 27477927, 85043021, 236177433, 9991179]
[206045465, 237134557, 98501963, 193035196, 7380439, 23517855]
[206045465, 237134557, 98501963, 193035196, 217614723, 74262643]
[93013133, 79078986, 27477927, 85043021, 236177433, 132577042]
[93013133, 79078986, 20365635, 126967462, 179682725, 77985907]
[93013133, 79078986, 20365635, 126967462, 117982567]
[206045465, 25751687, 125958478, 78296307, 75256724, 22168561]
[206045465, 25751687, 125958478, 194460356, 135388072, 95584320]
[93013133, 79078986, 27477927, 85043021, 84166967, 71912948]
[93013133, 79078986, 27477927, 85043021, 84166967, 218440954]
[206045465, 237134557, 98501963, 193035196, 127476587, 129945520]
[206045465, 237134557, 98501963, 193035196, 127476587, 147659021]
[206045465, 25751687, 125958478, 78296307, 75256724, 164467116]
[206045465, 237134557, 98501963, 193035196, 7380439, 30867658]
[206045465, 25751687, 125958478, 78296307, 75256724, 172851321]
[93013133, 79078986, 27477927, 85043021, 84166967, 110169498]
[93013133, 79078986, 20365635, 126967462, 175896618]
[93013133, 79078986, 27477927, 85043021, 236177433, 87058006]
[93013133, 79078986, 20365635, 126967462, 179682725, 162876369]
[93013133, 79078986, 27477927, 85043021, 84166967, 115730177]
[206045465, 237134557, 98501963, 193035196, 7380439, 46942803]
[206045465, 237134557, 98501963, 193035196, 217614723, 163899225]
[93013133, 79078986, 20365635, 126967462, 179682725, 113873904]
[206045465, 25751687, 125958478, 78296307, 75256724, 123251791]
[93013133, 79078986, 20365635, 126967462, 179682725, 110949832]
[206045465, 25751687, 125958478, 194460356, 135388072, 126013313]
[206045465, 25751687, 125958478, 78296307, 75256724, 243568753]
[206045465, 237134557, 98501963, 193035196, 217614723, 45411673]
[206045465, 237134557, 98501963, 193035196, 86116500, 75951240]
[93013133, 79078986, 27477927, 85043021, 236177433, 197043385]
[93013133, 79078986, 20365635, 126967462, 179682725, 76098989]
[93013133, 79078986, 27477927, 85043021, 236177433, 74186335]
[206045465, 237134557, 98501963, 193035196, 86116500, 115835866]
[206045465, 25751687, 125958478, 78296307, 75256724, 31825522]
[93013133, 79078986, 20365635, 126967462, 210478797]
[93013133, 79078986, 20365635, 126967462, 88345952]
[206045465, 237134557, 98501963, 193035196, 127476587, 39290025]
[93013133, 79078986, 27477927, 85043021, 84166967, 60183089]
[206045465, 237134557, 98501963, 193035196, 217614723, 131529729]
[206045465, 237134557, 98501963, 193035196, 127476587, 124441204]
[206045465, 237134557, 98501963, 193035196, 127476587, 9767818]
[206045465, 237134557, 98501963, 193035196, 86116500, 77257543]
[206045465, 237134557, 98501963, 193035196, 7380439, 175824048]
[93013133, 79078986, 20365635, 126967462, 179682725, 27582081]
[93013133, 79078986, 27477927, 85043021, 236177433, 245786459]
[93013133, 79078986, 20365635, 126967462, 179682725, 62627206]
[206045465, 237134557, 98501963, 193035196, 7380439, 76595302]
[206045465, 237134557, 98501963, 193035196, 217614723, 41984445]
[206045465, 25751687, 125958478, 194460356, 135388072, 137639648]
[93013133, 79078986, 20365635, 126967462, 248444080]
[206045465, 237134557, 98501963, 193035196, 86116500, 143135276]
[206045465, 237134557, 98501963, 193035196, 127476587, 184255983]
[206045465, 237134557, 98501963, 193035196, 7380439, 161056414]
[93013133, 79078986, 27477927, 85043021, 84166967, 145922303]
[206045465, 25751687, 125958478, 78296307, 75256724, 122740727]
[206045465, 237134557, 98501963, 193035196, 217614723, 217972542]
[206045465, 25751687, 125958478, 194460356, 135388072, 192018931]
[93013133, 79078986, 27477927, 85043021, 84166967, 122576599]
[206045465, 237134557, 98501963, 193035196, 127476587, 133185763]
[206045465, 25751687, 125958478, 78296307, 75256724, 165277951]
[206045465, 25751687, 125958478, 194460356, 135388072, 247827255]
[93013133, 79078986, 27477927, 85043021, 84166967, 178987226]
[93013133, 79078986, 20365635, 126967462, 179682725, 139435284]
[93013133, 79078986, 20365635, 126967462, 179682725, 76849894]
[206045465, 237134557, 98501963, 193035196, 7380439, 246062672]
[93013133, 79078986, 27477927, 85043021, 84166967, 241090716]
[93013133, 79078986, 20365635, 126967462, 44158329]
[206045465, 237134557, 98501963, 193035196, 86116500, 115556495]
[206045465, 237134557, 98501963, 193035196, 217614723, 10073331]
[93013133, 79078986, 27477927, 85043021, 84166967, 240109286]
[93013133, 79078986, 27477927, 85043021, 84166967, 228321013]
[93013133, 79078986, 27477927, 85043021, 84166967, 143901514]
[206045465, 25751687, 125958478, 194460356, 135388072, 39528092]
[206045465, 237134557, 98501963, 193035196, 127476587, 41364671]
[93013133, 79078986, 20365635, 126967462, 148070288]
[206045465, 237134557, 98501963, 193035196, 7380439, 22023906]
[206045465, 25751687, 125958478, 194460356, 135388072, 51407453]
[206045465, 25751687, 125958478, 78296307, 75256724, 108593584]
[206045465, 237134557, 98501963, 193035196, 7380439, 221850698]
[206045465, 237134557, 98501963, 193035196, 217614723, 101474991]
[206045465, 25751687, 125958478, 194460356, 135388072, 208517333]
[93013133, 79078986, 27477927, 85043021, 236177433, 241560789]
[93013133, 79078986, 20365635, 126967462, 179682725, 211225948]
[206045465, 237134557, 98501963, 193035196, 7380439, 112168275]
[206045465, 25751687, 125958478, 78296307, 75256724, 223197625]
[206045465, 237134557, 98501963, 193035196, 86116500, 29013244]
[93013133, 79078986, 20365635, 126967462, 179682725, 166040036]
[206045465, 237134557, 98501963, 193035196, 217614723, 154207747]
[206045465, 25751687, 125958478, 78296307, 75256724, 241754584]
[206045465, 237134557, 98501963, 193035196, 7380439, 116522495]
[93013133, 79078986, 27477927, 85043021, 236177433, 235956366]
[206045465, 25751687, 125958478, 78296307, 75256724, 173832965]
[206045465, 237134557, 98501963, 193035196, 217614723, 38822102]
[206045465, 25751687, 125958478, 194460356, 135388072, 62505328]
[206045465, 237134557, 98501963, 193035196, 7380439, 213287679]
[93013133, 79078986, 20365635, 126967462, 179682725, 117437911]
[93013133, 79078986, 20365635, 126967462, 176426356]
[206045465, 237134557, 98501963, 193035196, 127476587, 191741956]
[206045465, 25751687, 125958478, 194460356, 135388072, 244213562]
[206045465, 25751687, 125958478, 194460356, 135388072, 162261429]
[206045465, 237134557, 98501963, 193035196, 86116500, 157340506]
[93013133, 79078986, 27477927, 85043021, 84166967, 76061669]
[206045465, 237134557, 98501963, 193035196, 86116500, 174130289]
[206045465, 237134557, 98501963, 193035196, 127476587, 157685817]
[206045465, 237134557, 98501963, 193035196, 217614723, 135591360]
[206045465, 237134557, 98501963, 193035196, 7380439, 176186114]
[206045465, 25751687, 125958478, 194460356, 135388072, 60367060]
[93013133, 79078986, 20365635, 126967462, 179682725, 46003363]
[206045465, 237134557, 98501963, 193035196, 7380439, 91532858]
[206045465, 237134557, 98501963, 193035196, 7380439, 37946762]
[93013133, 79078986, 27477927, 85043021, 84166967, 179416775]
[206045465, 237134557, 98501963, 193035196, 217614723, 99298766]
[206045465, 237134557, 98501963, 193035196, 127476587, 12545526]
[206045465, 25751687, 125958478, 194460356, 135388072, 1047036]
[93013133, 79078986, 27477927, 85043021, 84166967, 2728916]
[206045465, 237134557, 98501963, 193035196, 7380439, 173330100]
[206045465, 237134557, 98501963, 193035196, 217614723, 159564084]
[206045465, 25751687, 125958478, 78296307, 75256724, 178003012]
[206045465, 237134557, 98501963, 193035196, 7380439, 185943310]
[93013133, 79078986, 27477927, 85043021, 84166967, 126101644]
[206045465, 237134557, 98501963, 193035196, 7380439, 72014625]
[206045465, 237134557, 98501963, 193035196, 7380439, 213181803]
[93013133, 79078986, 27477927, 85043021, 236177433, 112613685]
[206045465, 237134557, 98501963, 193035196, 86116500, 15241817]
[206045465, 25751687, 125958478, 194460356, 135388072, 236199880]
[93013133, 79078986, 20365635, 126967462, 179682725, 246468998]
[206045465, 237134557, 98501963, 193035196, 217614723, 26118273]
[206045465, 237134557, 98501963, 193035196, 7380439, 135600958]
[93013133, 79078986, 27477927, 85043021, 84166967, 103551390]
[93013133, 79078986, 27477927, 85043021, 236177433, 58736908]
[93013133, 79078986, 20365635, 126967462, 179682725, 138514803]
[93013133, 79078986, 27477927, 85043021, 84166967, 78737685]
[206045465, 237134557, 98501963, 193035196, 127476587, 239218107]
[206045465, 237134557, 98501963, 193035196, 86116500, 102897480]
[93013133, 79078986, 27477927, 85043021, 84166967, 6645792]
[93013133, 79078986, 20365635, 126967462, 179682725, 67679609]
[206045465, 237134557, 98501963, 193035196, 217614723, 156727586]
[93013133, 79078986, 20365635, 126967462, 179682725, 147129503]
[93013133, 79078986, 20365635, 126967462, 232395209]
[206045465, 237134557, 98501963, 193035196, 127476587, 116550146]
[93013133, 79078986, 27477927, 85043021, 236177433, 113612468]
[206045465, 237134557, 98501963, 193035196, 7380439, 207853486]
[206045465, 237134557, 98501963, 193035196, 217614723, 112672812]
[93013133, 79078986, 27477927, 85043021, 84166967, 90629630]
[93013133, 79078986, 20365635, 126967462, 219930455]
[93013133, 79078986, 20365635, 126967462, 179682725, 41242550]
[206045465, 25751687, 125958478, 78296307, 75256724, 85823408]
[93013133, 79078986, 27477927, 85043021, 236177433, 244008088]
[206045465, 25751687, 125958478, 78296307, 75256724, 106292186]
[206045465, 237134557, 98501963, 193035196, 7380439, 142414966]
[206045465, 237134557, 98501963, 193035196, 86116500, 59116235]
[206045465, 237134557, 98501963, 193035196, 127476587, 148130325]
[206045465, 25751687, 125958478, 194460356, 135388072, 96288314]
[93013133, 79078986, 27477927, 85043021, 236177433, 160747297]
[206045465, 25751687, 125958478, 194460356, 135388072, 61532889]
[206045465, 237134557, 98501963, 193035196, 217614723, 173076726]
[93013133, 79078986, 27477927, 85043021, 84166967, 130273907]
[206045465, 237134557, 98501963, 193035196, 127476587, 26714774]
[206045465, 237134557, 98501963, 193035196, 217614723, 202499222]
[206045465, 237134557, 98501963, 193035196, 127476587, 202871286]
[93013133, 79078986, 20365635, 126967462, 179682725, 219756267]
[206045465, 237134557, 98501963, 193035196, 86116500, 17629812]
[206045465, 237134557, 98501963, 193035196, 127476587, 97493538]
[93013133, 79078986, 20365635, 126967462, 179682725, 7519564]
[206045465, 237134557, 98501963, 193035196, 86116500, 173837799]
[206045465, 237134557, 98501963, 193035196, 86116500, 163231436]
[206045465, 25751687, 125958478, 78296307, 75256724, 52616357]
[206045465, 237134557, 98501963, 193035196, 127476587, 183634510]
[206045465, 237134557, 98501963, 193035196, 217614723, 138525636]
[93013133, 79078986, 20365635, 126967462, 125807594]
[93013133, 79078986, 20365635, 126967462, 179682725, 7596395]
[93013133, 79078986, 27477927, 85043021, 236177433, 63399310]
[93013133, 79078986, 20365635, 126967462, 179682725, 126513371]
[93013133, 79078986, 27477927, 85043021, 84166967, 81720866]
[206045465, 237134557, 98501963, 193035196, 86116500, 234580214]
[206045465, 25751687, 125958478, 78296307, 75256724, 183815500]
[93013133, 79078986, 20365635, 126967462, 166501823]
[93013133, 79078986, 20365635, 126967462, 29421475]
[206045465, 237134557, 98501963, 193035196, 127476587, 171565595]
[206045465, 237134557, 98501963, 193035196, 7380439, 69364897]
[206045465, 25751687, 125958478, 194460356, 135388072, 49247531]
[93013133, 79078986, 27477927, 85043021, 236177433, 199458128]
[206045465, 237134557, 98501963, 193035196, 217614723, 243173981]
[206045465, 237134557, 98501963, 193035196, 86116500, 138365643]
[93013133, 79078986, 27477927, 85043021, 236177433, 205912245]
[206045465, 237134557, 98501963, 193035196, 7380439, 114542485]
[93013133, 79078986, 27477927, 85043021, 84166967, 232079469]
[206045465, 25751687, 125958478, 78296307, 75256724, 218335099]
[206045465, 25751687, 125958478, 194460356, 135388072, 44280086]
[93013133, 79078986, 20365635, 126967462, 179682725, 45035423]
[206045465, 237134557, 98501963, 193035196, 86116500, 92715450]
[206045465, 237134557, 98501963, 193035196, 7380439, 242640334]
[206045465, 237134557, 98501963, 193035196, 127476587, 214008076]
[206045465, 237134557, 98501963, 193035196, 217614723, 246052618]
[93013133, 79078986, 20365635, 126967462, 179682725, 107666114]
[206045465, 25751687, 125958478, 194460356, 135388072, 191571858]
[93013133, 79078986, 27477927, 85043021, 84166967, 19096375]
[206045465, 237134557, 98501963, 193035196, 217614723, 170042754]
[93013133, 79078986, 20365635, 126967462, 158707290]
[206045465, 237134557, 98501963, 193035196, 217614723, 109317209]
[93013133, 79078986, 20365635, 126967462, 227159420]
[93013133, 79078986, 27477927, 85043021, 84166967, 211762459]
[206045465, 237134557, 98501963, 193035196, 7380439, 16304611]
[206045465, 237134557, 98501963, 193035196, 7380439, 161854084]
[206045465, 237134557, 98501963, 193035196, 7380439, 72210871]
[93013133, 79078986, 20365635, 126967462, 98257259]
[93013133, 79078986, 27477927, 85043021, 84166967, 45504555]
[206045465, 237134557, 98501963, 193035196, 7380439, 140877992]
[93013133, 79078986, 20365635, 126967462, 138681239]
[93013133, 79078986, 27477927, 85043021, 84166967, 27407028]
[93013133, 79078986, 20365635, 126967462, 163875268]
[93013133, 79078986, 27477927, 85043021, 236177433, 184632613]
[206045465, 237134557, 98501963, 193035196, 7380439, 75037626]
[206045465, 237134557, 98501963, 193035196, 7380439, 235434174]
[206045465, 25751687, 125958478, 194460356, 135388072, 236988079]
[206045465, 237134557, 98501963, 193035196, 86116500, 178056311]
[206045465, 237134557, 98501963, 193035196, 127476587, 171413138]
[206045465, 25751687, 125958478, 194460356, 135388072, 129266057]
[93013133, 79078986, 27477927, 85043021, 236177433, 121038857]
[93013133, 79078986, 27477927, 85043021, 84166967, 219058571]
[206045465, 237134557, 98501963, 193035196, 86116500, 86486084]
[206045465, 237134557, 98501963, 193035196, 217614723, 59634582]
[93013133, 79078986, 27477927, 85043021, 84166967, 126834639]
[93013133, 79078986, 20365635, 126967462, 179682725, 82079403]
[206045465, 237134557, 98501963, 193035196, 217614723, 26396919]
[93013133, 79078986, 20365635, 126967462, 118136344]
[206045465, 25751687, 125958478, 78296307, 75256724, 35824587]
[206045465, 25751687, 125958478, 194460356, 135388072, 11844701]
[93013133, 79078986, 27477927, 85043021, 236177433, 81983618]
[206045465, 25751687, 125958478, 194460356, 135388072, 129002967]
[93013133, 79078986, 20365635, 126967462, 128513424]
[93013133, 79078986, 20365635, 126967462, 179682725, 84738139]
[93013133, 79078986, 27477927, 85043021, 236177433, 146082102]
[93013133, 79078986, 27477927, 85043021, 84166967, 149493650]
[206045465, 25751687, 125958478, 194460356, 135388072, 197966316]
[93013133, 79078986, 27477927, 85043021, 84166967, 123093489]
[206045465, 25751687, 125958478, 194460356, 135388072, 9722261]
[93013133, 79078986, 27477927, 85043021, 236177433, 51381237]
[206045465, 25751687, 125958478, 78296307, 75256724, 191528024]
[93013133, 79078986, 20365635, 126967462, 179682725, 68441132]
[206045465, 237134557, 98501963, 193035196, 86116500, 195950476]
[206045465, 25751687, 125958478, 78296307, 75256724, 16900662]
[206045465, 237134557, 98501963, 193035196, 127476587, 51473105]
[93013133, 79078986, 27477927, 85043021, 84166967, 233761884]
[206045465, 25751687, 125958478, 194460356, 135388072, 77990875]
[93013133, 79078986, 27477927, 85043021, 84166967, 151282002]
[206045465, 237134557, 98501963, 193035196, 217614723, 176778822]
[93013133, 79078986, 27477927, 85043021, 84166967, 26265207]
[206045465, 25751687, 125958478, 194460356, 135388072, 156001126]
[206045465, 25751687, 125958478, 194460356, 135388072, 139683325]
[93013133, 79078986, 27477927, 85043021, 236177433, 204576436]
[206045465, 237134557, 98501963, 193035196, 86116500, 64697642]
[206045465, 237134557, 98501963, 193035196, 86116500, 233570049]
[93013133, 79078986, 27477927, 85043021, 84166967, 180549603]
[93013133, 79078986, 27477927, 85043021, 84166967, 192091153]
[206045465, 237134557, 98501963, 193035196, 127476587, 246638965]
[206045465, 25751687, 125958478, 78296307, 75256724, 180063794]
[206045465, 237134557, 98501963, 193035196, 86116500, 69672622]
[93013133, 79078986, 20365635, 126967462, 75740536]
[93013133, 79078986, 20365635, 126967462, 179682725, 22597622]
[93013133, 79078986, 27477927, 85043021, 236177433, 155871252]
[93013133, 79078986, 20365635, 126967462, 179682725, 238898395]
[206045465, 237134557, 98501963, 193035196, 127476587, 84911566]
[206045465, 237134557, 98501963, 193035196, 7380439, 222125440]
[93013133, 79078986, 20365635, 126967462, 210792189]
[206045465, 237134557, 98501963, 193035196, 7380439, 112585972]
[206045465, 25751687, 125958478, 78296307, 75256724, 55076567]
[206045465, 237134557, 98501963, 193035196, 7380439, 242360588]
[206045465, 25751687, 125958478, 78296307, 75256724, 56964335]
[206045465, 237134557, 98501963, 193035196, 7380439, 172512853]
[206045465, 237134557, 98501963, 193035196, 127476587, 174052198]
[206045465, 237134557, 98501963, 193035196, 86116500, 94486526]
[206045465, 25751687, 125958478, 194460356, 135388072, 222502502]
[206045465, 237134557, 98501963, 193035196, 217614723, 163235147]
[206045465, 237134557, 98501963, 193035196, 7380439, 124931190]
[206045465, 237134557, 98501963, 193035196, 86116500, 8758426]
[93013133, 79078986, 27477927, 85043021, 236177433, 137911231]
[93013133, 79078986, 27477927, 85043021, 236177433, 242889822]
[93013133, 79078986, 20365635, 126967462, 129330667]
[206045465, 237134557, 98501963, 193035196, 86116500, 206426334]
[206045465, 237134557, 98501963, 193035196, 86116500, 96572723]
[206045465, 237134557, 98501963, 193035196, 127476587, 226757169]
[206045465, 25751687, 125958478, 194460356, 135388072, 188342796]
[206045465, 25751687, 125958478, 194460356, 135388072, 40011166]
[206045465, 237134557, 98501963, 193035196, 7380439, 65944248]
[206045465, 237134557, 98501963, 193035196, 7380439, 238906149]
[206045465, 237134557, 98501963, 193035196, 7380439, 167988426]
[206045465, 237134557, 98501963, 193035196, 7380439, 138197741]
[206045465, 237134557, 98501963, 193035196, 217614723, 232159780]
[206045465, 237134557, 98501963, 193035196, 7380439, 95463434]
[206045465, 237134557, 98501963, 193035196, 127476587, 96269516]
[93013133, 79078986, 27477927, 85043021, 236177433, 67645343]
[93013133, 79078986, 20365635, 126967462, 179682725, 41673043]
[206045465, 237134557, 98501963, 193035196, 127476587, 70766351]
[93013133, 79078986, 20365635, 126967462, 161116906]
[206045465, 237134557, 98501963, 193035196, 127476587, 198942051]
[206045465, 237134557, 98501963, 193035196, 217614723, 86370652]
[93013133, 79078986, 27477927, 85043021, 236177433, 222352426]
[93013133, 79078986, 20365635, 126967462, 179682725, 79660944]
[206045465, 25751687, 125958478, 78296307, 75256724, 94915564]
[206045465, 237134557, 98501963, 193035196, 127476587, 190760399]
[206045465, 237134557, 98501963, 193035196, 217614723, 99064298]
[206045465, 25751687, 125958478, 194460356, 135388072, 43216099]
[93013133, 79078986, 20365635, 126967462, 68309016]
[93013133, 79078986, 20365635, 126967462, 30134333]
[206045465, 25751687, 125958478, 194460356, 135388072, 58354611]
[206045465, 25751687, 125958478, 78296307, 75256724, 53466139]
[93013133, 79078986, 20365635, 126967462, 179682725, 123183817]
[206045465, 25751687, 125958478, 78296307, 75256724, 247965836]
[206045465, 25751687, 125958478, 78296307, 75256724, 99563092]
[206045465, 25751687, 125958478, 78296307, 75256724, 213551874]
[206045465, 237134557, 98501963, 193035196, 217614723, 227721351]
[206045465, 237134557, 98501963, 193035196, 86116500, 199341234]
[206045465, 237134557, 98501963, 193035196, 217614723, 133042035]
[206045465, 25751687, 125958478, 194460356, 135388072, 13812023]
[93013133, 79078986, 27477927, 85043021, 236177433, 34521265]
[206045465, 237134557, 98501963, 193035196, 86116500, 206034051]
[93013133, 79078986, 27477927, 85043021, 84166967, 82414747]
[206045465, 237134557, 98501963, 193035196, 127476587, 89401422]
[206045465, 25751687, 125958478, 78296307, 75256724, 203063319]
[206045465, 237134557, 98501963, 193035196, 86116500, 80774400]
[206045465, 237134557, 98501963, 193035196, 7380439, 168313594]
[206045465, 237134557, 98501963, 193035196, 7380439, 215412979]
[93013133, 79078986, 27477927, 85043021, 236177433, 232289787]
[93013133, 79078986, 20365635, 126967462, 179682725, 169565880]
[206045465, 237134557, 98501963, 193035196, 217614723, 105988665]
[93013133, 79078986, 20365635, 126967462, 225888126]
[93013133, 79078986, 20365635, 126967462, 179682725, 111285872]
[93013133, 79078986, 27477927, 85043021, 236177433, 65254848]
[93013133, 79078986, 27477927, 85043021, 84166967, 238458806]
[206045465, 237134557, 98501963, 193035196, 7380439, 110446499]
[206045465, 237134557, 98501963, 193035196, 127476587, 194011373]
[93013133, 79078986, 27477927, 85043021, 236177433, 205149017]
[206045465, 25751687, 125958478, 194460356, 135388072, 23608870]
[206045465, 237134557, 98501963, 193035196, 127476587, 65715360]
[206045465, 25751687, 125958478, 194460356, 135388072, 51957396]
[93013133, 79078986, 27477927, 85043021, 236177433, 122270016]
[206045465, 237134557, 98501963, 193035196, 127476587, 13226482]
[206045465, 237134557, 98501963, 193035196, 86116500, 20588972]
[206045465, 237134557, 98501963, 193035196, 7380439, 17456689]
[206045465, 25751687, 125958478, 78296307, 75256724, 63947463]
[206045465, 237134557, 98501963, 193035196, 7380439, 189423075]
[206045465, 237134557, 98501963, 193035196, 86116500, 14913782]
[93013133, 79078986, 27477927, 85043021, 84166967, 84501249]
[206045465, 25751687, 125958478, 194460356, 135388072, 118322597]
[93013133, 79078986, 20365635, 126967462, 179682725, 8199690]
[93013133, 79078986, 27477927, 85043021, 84166967, 213051666]
[206045465, 237134557, 98501963, 193035196, 217614723, 68056831]
[206045465, 237134557, 98501963, 193035196, 7380439, 176601268]
[206045465, 237134557, 98501963, 193035196, 217614723, 46986716]
[206045465, 237134557, 98501963, 193035196, 127476587, 16659820]
[206045465, 237134557, 98501963, 193035196, 127476587, 202646781]
[93013133, 79078986, 27477927, 85043021, 84166967, 145125874]
[93013133, 79078986, 27477927, 85043021, 84166967, 217372951]
[206045465, 237134557, 98501963, 193035196, 86116500, 72519466]
