[93013133, 79078986, 20365635, 126967462]
[93013133, 79078986, 27477927, 146897913, 146638320]
[93013133, 79078986, 27477927, 151118393, 124123113]
[93013133, 79078986, 20365635, 126302347, 150010357]
[206045465, 237134557, 98501963, 175235460]
[206045465, 237134557, 150819137, 109197033, 169018265]
[93013133, 79078986, 20365635, 126967462, 191550893]
[206045465, 237134557, 98501963, 128942575]
[206045465, 25751687, 125958478, 194460356, 172072417]
[206045465, 237134557, 98501963, 48527440]
[206045465, 237134557, 150819137, 109197033, 121960557]
[206045465, 25751687, 125958478, 78296307, 184265239]
[206045465, 237134557, 150819137, 109197033, 181179332]
[206045465, 25751687, 125958478, 78296307, 114761375]
[206045465, 25751687, 125958478, 78296307, 105050481]
[206045465, 25751687, 125958478, 194460356, 106125226]
[206045465, 237134557, 98501963, 193035196, 5830815]
[206045465, 25751687, 125958478, 194460356, 155298681]
[93013133, 79078986, 27477927, 151118393, 216761278]
[93013133, 79078986, 27477927, 146897913, 190010246]
[206045465, 25751687, 125958478, 78296307, 160042187]
[93013133, 79078986, 20365635, 126967462, 100958707]
[206045465, 25751687, 125958478, 194460356, 192685278]
[93013133, 79078986, 27477927, 85043021, 217679273]
[206045465, 237134557, 150819137, 109197033, 85697793]
[206045465, 237134557, 150819137, 109197033, 102395432]
[206045465, 25751687, 125958478, 194460356, 147488049]
[206045465, 237134557, 98501963, 193035196, 158050299]
[206045465, 237134557, 98501963, 146650950]
[206045465, 25751687, 125958478, 78296307, 187554478]
[93013133, 79078986, 27477927, 146897913, 143121917]
[93013133, 79078986, 27477927, 151118393, 212735798]
[206045465, 237134557, 150819137, 109197033, 22414760]
[206045465, 237134557, 98501963, 194948743]
[93013133, 79078986, 20365635, 126967462, 168001764]
[93013133, 79078986, 20365635, 126302347, 95820321]
[206045465, 25751687, 125958478, 194460356, 245113351]
[206045465, 237134557, 150819137, 109197033, 225512747]
[93013133, 79078986, 20365635, 126302347, 222858433]
[206045465, 25751687, 125958478, 78296307, 234360269]
[93013133, 79078986, 27477927, 151118393, 139899494]
[93013133, 79078986, 27477927, 151118393, 218246692]
[206045465, 25751687, 125958478, 78296307, 236005801]
[93013133, 79078986, 27477927, 151118393, 142622709]
[93013133, 79078986, 27477927, 85043021, 55192333]
[93013133, 79078986, 27477927, 85043021, 100102789]
[206045465, 25751687, 125958478, 78296307, 61135179]
[206045465, 237134557, 98501963, 193035196, 171944187]
[93013133, 79078986, 20365635, 126302347, 5987414]
[206045465, 237134557, 98501963, 193035196, 243250641]
[206045465, 237134557, 98501963, 224238625]
[93013133, 79078986, 20365635, 126302347, 242611112]
[206045465, 25751687, 125958478, 78296307, 54405560]
[93013133, 79078986, 20365635, 126302347, 26704839]
[206045465, 25751687, 125958478, 78296307, 225287046]
[206045465, 25751687, 125958478, 194460356, 16073507]
[206045465, 25751687, 125958478, 78296307, 235959342]
[93013133, 79078986, 20365635, 126967462, 174541632]
[93013133, 79078986, 27477927, 85043021, 241289121]
[93013133, 79078986, 20365635, 126302347, 126494877]
[93013133, 79078986, 27477927, 146897913, 130504015]
[206045465, 25751687, 125958478, 78296307, 224193460]
[206045465, 237134557, 98501963, 247525945]
[93013133, 79078986, 20365635, 126967462, 158840374]
[206045465, 237134557, 98501963, 193035196, 84336817]
[93013133, 79078986, 27477927, 85043021, 205188800]
[93013133, 79078986, 27477927, 146897913, 28282150]
[206045465, 237134557, 98501963, 193035196, 38146374]
[206045465, 237134557, 98501963, 28810113]
[206045465, 25751687, 125958478, 78296307, 34660261]
[93013133, 79078986, 27477927, 151118393, 9251803]
[93013133, 79078986, 27477927, 146897913, 51276008]
[206045465, 237134557, 98501963, 193035196, 74769838]
[93013133, 79078986, 27477927, 151118393, 102002652]
[93013133, 79078986, 20365635, 126302347, 138997808]
[206045465, 237134557, 98501963, 193035196, 122829078]
[93013133, 79078986, 27477927, 146897913, 147853558]
[93013133, 79078986, 20365635, 126967462, 155629789]
[93013133, 79078986, 27477927, 85043021, 49103062]
[93013133, 79078986, 27477927, 151118393, 49349519]
[93013133, 79078986, 27477927, 151118393, 95384138]
[206045465, 25751687, 125958478, 194460356, 233301427]
[206045465, 237134557, 98501963, 193035196, 190640133]
[93013133, 79078986, 27477927, 146897913, 201831258]
[206045465, 237134557, 150819137, 109197033, 230390483]
[206045465, 237134557, 98501963, 193035196, 156202940]
[93013133, 79078986, 20365635, 126967462, 18532045]
[93013133, 79078986, 20365635, 126967462, 2982411]
[93013133, 79078986, 27477927, 151118393, 223223699]
[206045465, 237134557, 98501963, 12308819]
[93013133, 79078986, 20365635, 126302347, 181431976]
[93013133, 79078986, 27477927, 151118393, 82541074]
[93013133, 79078986, 20365635, 126967462, 115907134]
[206045465, 25751687, 125958478, 194460356, 104933475]
[93013133, 79078986, 27477927, 146897913, 119308106]
[93013133, 79078986, 27477927, 146897913, 184467862]
[206045465, 25751687, 125958478, 194460356, 148322194]
[206045465, 25751687, 125958478, 194460356, 211597263]
[206045465, 25751687, 125958478, 194460356, 197849903]
[93013133, 79078986, 27477927, 146897913, 108914926]
[206045465, 237134557, 150819137, 109197033, 61669887]
[93013133, 79078986, 27477927, 146897913, 135588288]
[93013133, 79078986, 27477927, 146897913, 10038464]
[206045465, 237134557, 98501963, 193035196, 175954502]
[93013133, 79078986, 27477927, 146897913, 195982892]
[93013133, 79078986, 27477927, 146897913, 183737070]
[206045465, 237134557, 150819137, 109197033, 221253078]
[206045465, 25751687, 125958478, 194460356, 195590703]
[93013133, 79078986, 20365635, 126302347, 125267318]
[93013133, 79078986, 20365635, 126967462, 72454339]
[206045465, 237134557, 98501963, 193035196, 68704088]
[93013133, 79078986, 27477927, 146897913, 180355981]
[206045465, 237134557, 150819137, 109197033, 127246237]
[206045465, 25751687, 125958478, 194460356, 231182037]
[93013133, 79078986, 20365635, 126967462, 17278361]
[93013133, 79078986, 27477927, 146897913, 97575695]
[206045465, 237134557, 98501963, 193035196, 21943372]
[93013133, 79078986, 27477927, 85043021, 153194147]
[206045465, 25751687, 125958478, 194460356, 26306683]
[206045465, 25751687, 125958478, 194460356, 94299281]
[206045465, 237134557, 150819137, 109197033, 141905168]
[206045465, 237134557, 98501963, 210788412]
[93013133, 79078986, 20365635, 126302347, 158841579]
[206045465, 25751687, 125958478, 194460356, 69635421]
[93013133, 79078986, 20365635, 126967462, 246193341]
[206045465, 237134557, 98501963, 193035196, 36001938]
[93013133, 79078986, 27477927, 146897913, 214468170]
[206045465, 25751687, 125958478, 78296307, 105209514]
[206045465, 25751687, 125958478, 194460356, 187487286]
[93013133, 79078986, 27477927, 151118393, 216839793]
[206045465, 25751687, 125958478, 78296307, 72215758]
[206045465, 25751687, 125958478, 194460356, 32134897]
[206045465, 237134557, 98501963, 193035196, 243555116]
[206045465, 25751687, 125958478, 78296307, 236142433]
[93013133, 79078986, 27477927, 151118393, 145098122]
[93013133, 79078986, 20365635, 126302347, 180864023]
[93013133, 79078986, 27477927, 146897913, 135997346]
[93013133, 79078986, 20365635, 126967462, 202915732]
[93013133, 79078986, 27477927, 85043021, 178635977]
[93013133, 79078986, 27477927, 146897913, 72126678]
[93013133, 79078986, 20365635, 126302347, 17748683]
[206045465, 25751687, 125958478, 194460356, 217680270]
[206045465, 237134557, 98501963, 205962454]
[93013133, 79078986, 27477927, 151118393, 225258523]
[206045465, 237134557, 98501963, 80316878]
[93013133, 79078986, 27477927, 85043021, 19866907]
[93013133, 79078986, 20365635, 126302347, 187380811]
[93013133, 79078986, 27477927, 151118393, 15697643]
[206045465, 237134557, 98501963, 92757741]
[206045465, 25751687, 125958478, 78296307, 17146111]
[206045465, 237134557, 98501963, 19134794]
[206045465, 237134557, 150819137, 109197033, 62899095]
[93013133, 79078986, 27477927, 151118393, 166161467]
[206045465, 237134557, 98501963, 124302492]
[206045465, 25751687, 125958478, 78296307, 237584274]
[93013133, 79078986, 27477927, 146897913, 198530727]
[206045465, 237134557, 98501963, 193035196, 2522144]
[93013133, 79078986, 27477927, 146897913, 133861786]
[93013133, 79078986, 27477927, 85043021, 148916092]
[206045465, 237134557, 150819137, 109197033, 196694429]
[93013133, 79078986, 27477927, 146897913, 15383860]
[206045465, 237134557, 98501963, 193035196, 29634114]
[93013133, 79078986, 20365635, 126302347, 112309686]
[206045465, 237134557, 150819137, 109197033, 85844827]
[93013133, 79078986, 20365635, 126967462, 58309479]
[206045465, 25751687, 125958478, 194460356, 198172511]
[93013133, 79078986, 20365635, 126967462, 98530262]
[93013133, 79078986, 27477927, 146897913, 53472646]
[93013133, 79078986, 27477927, 146897913, 122998250]
[206045465, 237134557, 98501963, 135363542]
[206045465, 25751687, 125958478, 194460356, 52509184]
[93013133, 79078986, 27477927, 146897913, 38299543]
[206045465, 237134557, 98501963, 206998566]
[93013133, 79078986, 20365635, 126967462, 193725591]
[206045465, 25751687, 125958478, 78296307, 4836739]
[93013133, 79078986, 20365635, 126302347, 175068225]
[93013133, 79078986, 27477927, 85043021, 159040707]
[206045465, 237134557, 150819137, 109197033, 1573749]
[206045465, 25751687, 125958478, 194460356, 202709391]
[206045465, 25751687, 125958478, 194460356, 134828034]
[206045465, 25751687, 125958478, 78296307, 114864264]
[93013133, 79078986, 27477927, 146897913, 154166659]
[206045465, 237134557, 98501963, 193035196, 120770872]
[206045465, 25751687, 125958478, 194460356, 7606171]
[206045465, 237134557, 98501963, 92444101]
[93013133, 79078986, 20365635, 126302347, 79932324]
[93013133, 79078986, 27477927, 146897913, 134826045]
[206045465, 25751687, 125958478, 194460356, 138073697]
[206045465, 25751687, 125958478, 78296307, 245718774]
[206045465, 25751687, 125958478, 194460356, 60495104]
[93013133, 79078986, 27477927, 146897913, 61034770]
[206045465, 237134557, 98501963, 100645466]
[206045465, 237134557, 98501963, 112817506]
[206045465, 25751687, 125958478, 194460356, 187997231]
[93013133, 79078986, 20365635, 126302347, 44242470]
[93013133, 79078986, 27477927, 151118393, 124998621]
[206045465, 25751687, 125958478, 78296307, 16689780]
[93013133, 79078986, 27477927, 146897913, 129154362]
[93013133, 79078986, 27477927, 151118393, 113655131]
[206045465, 25751687, 125958478, 194460356, 184502166]
[93013133, 79078986, 20365635, 126967462, 96479090]
[93013133, 79078986, 27477927, 146897913, 108817892]
[93013133, 79078986, 27477927, 151118393, 42421859]
[206045465, 25751687, 125958478, 78296307, 152742591]
[93013133, 79078986, 27477927, 151118393, 196344269]
[93013133, 79078986, 27477927, 85043021, 226185197]
[206045465, 237134557, 98501963, 193035196, 81589655]
[206045465, 25751687, 125958478, 194460356, 5523078]
[93013133, 79078986, 27477927, 85043021, 160460080]
[206045465, 237134557, 98501963, 193035196, 80423167]
[206045465, 237134557, 98501963, 22034824]
[206045465, 237134557, 98501963, 193035196, 210403962]
[206045465, 237134557, 150819137, 109197033, 183856602]
[93013133, 79078986, 27477927, 151118393, 134386118]
[206045465, 25751687, 125958478, 78296307, 223260472]
[93013133, 79078986, 27477927, 151118393, 145397240]
[93013133, 79078986, 20365635, 126302347, 145115377]
[206045465, 237134557, 98501963, 193035196, 167136528]
[206045465, 237134557, 98501963, 193035196, 83036691]
[206045465, 237134557, 150819137, 109197033, 197080255]
[206045465, 237134557, 98501963, 121881606]
[93013133, 79078986, 20365635, 126967462, 156292125]
[206045465, 25751687, 125958478, 78296307, 149354791]
[93013133, 79078986, 20365635, 126302347, 31638450]
[93013133, 79078986, 20365635, 126967462, 75283009]
[206045465, 237134557, 98501963, 193035196, 70659338]
[93013133, 79078986, 20365635, 126967462, 174108056]
[206045465, 237134557, 98501963, 213761862]
[93013133, 79078986, 27477927, 85043021, 40072027]
[206045465, 25751687, 125958478, 78296307, 209802542]
[206045465, 237134557, 150819137, 109197033, 43249929]
[93013133, 79078986, 20365635, 126302347, 114819076]
[93013133, 79078986, 27477927, 85043021, 198325967]
[206045465, 237134557, 98501963, 178387000]
[206045465, 237134557, 98501963, 193035196, 236823252]
[93013133, 79078986, 27477927, 151118393, 167426703]
[93013133, 79078986, 20365635, 126302347, 138208384]
[206045465, 237134557, 98501963, 138071328]
[206045465, 237134557, 98501963, 51655668]
[206045465, 237134557, 150819137, 109197033, 225006607]
[93013133, 79078986, 20365635, 126967462, 223584631]
[93013133, 79078986, 27477927, 146897913, 176393433]
[93013133, 79078986, 20365635, 126302347, 31076214]
[206045465, 25751687, 125958478, 194460356, 174242363]
[206045465, 237134557, 98501963, 75587927]
[93013133, 79078986, 20365635, 126302347, 71689911]
[93013133, 79078986, 20365635, 126302347, 131265148]
[93013133, 79078986, 27477927, 151118393, 8595941]
[93013133, 79078986, 27477927, 151118393, 193682092]
[206045465, 237134557, 98501963, 193035196, 56674885]
[206045465, 237134557, 98501963, 90105074]
[206045465, 237134557, 98501963, 193035196, 193697979]
[206045465, 237134557, 98501963, 150927124]
[93013133, 79078986, 20365635, 126302347, 120574099]
[93013133, 79078986, 20365635, 126967462, 181779667]
[93013133, 79078986, 20365635, 126302347, 176909870]
[93013133, 79078986, 27477927, 146897913, 34802604]
[93013133, 79078986, 27477927, 146897913, 226654743]
[93013133, 79078986, 27477927, 85043021, 71840855]
[93013133, 79078986, 20365635, 126302347, 40291047]
[206045465, 25751687, 125958478, 78296307, 95193244]
[206045465, 25751687, 125958478, 194460356, 22419298]
[206045465, 237134557, 98501963, 193035196, 108223965]
[93013133, 79078986, 20365635, 126302347, 209431466]
[206045465, 237134557, 150819137, 109197033, 172373724]
[206045465, 237134557, 150819137, 109197033, 4140742]
[93013133, 79078986, 27477927, 85043021, 32009963]
[206045465, 237134557, 98501963, 193035196, 121864574]
[206045465, 25751687, 125958478, 194460356, 33841345]
[206045465, 237134557, 98501963, 193035196, 34579833]
[206045465, 25751687, 125958478, 194460356, 184399736]
[206045465, 237134557, 150819137, 109197033, 149120521]
[93013133, 79078986, 27477927, 146897913, 66282645]
[93013133, 79078986, 20365635, 126967462, 88275946]
[93013133, 79078986, 27477927, 146897913, 247205466]
[206045465, 237134557, 98501963, 193035196, 241385515]
[93013133, 79078986, 20365635, 126967462, 16463068]
[206045465, 25751687, 125958478, 78296307, 148979678]
[206045465, 237134557, 98501963, 193035196, 209994002]
[206045465, 25751687, 125958478, 194460356, 178802083]
[206045465, 237134557, 98501963, 164393832]
[93013133, 79078986, 27477927, 85043021, 159006501]
[206045465, 237134557, 150819137, 109197033, 111229341]
[93013133, 79078986, 20365635, 126302347, 30006968]
[206045465, 237134557, 98501963, 125050130]
[206045465, 25751687, 125958478, 194460356, 113527264]
[93013133, 79078986, 27477927, 151118393, 88755288]
[206045465, 25751687, 125958478, 194460356, 144117332]
[93013133, 79078986, 27477927, 146897913, 132598759]
[206045465, 25751687, 125958478, 194460356, 28518549]
[93013133, 79078986, 27477927, 85043021, 155856827]
[93013133, 79078986, 27477927, 146897913, 64479350]
[93013133, 79078986, 20365635, 126302347, 188111541]
[93013133, 79078986, 20365635, 126967462, 187592791]
[206045465, 237134557, 98501963, 193035196, 234922762]
[206045465, 237134557, 150819137, 109197033, 244891776]
[206045465, 237134557, 98501963, 9134533]
[93013133, 79078986, 27477927, 151118393, 226409776]
[93013133, 79078986, 20365635, 126302347, 45650170]
[93013133, 79078986, 27477927, 146897913, 139572893]
[93013133, 79078986, 27477927, 146897913, 75329367]
[93013133, 79078986, 20365635, 126302347, 26971568]
[93013133, 79078986, 27477927, 85043021, 100772560]
[206045465, 25751687, 125958478, 78296307, 211804174]
[206045465, 237134557, 150819137, 109197033, 143188927]
[206045465, 237134557, 150819137, 109197033, 153831579]
[93013133, 79078986, 27477927, 151118393, 23011369]
[93013133, 79078986, 27477927, 85043021, 15401981]
[206045465, 237134557, 150819137, 109197033, 235982402]
[206045465, 237134557, 98501963, 193035196, 88309655]
[206045465, 237134557, 150819137, 109197033, 14668125]
[206045465, 237134557, 150819137, 109197033, 152790720]
[93013133, 79078986, 20365635, 126302347, 84493430]
[93013133, 79078986, 20365635, 126302347, 196353560]
[93013133, 79078986, 20365635, 126967462, 131781046]
[93013133, 79078986, 27477927, 151118393, 96943661]
[206045465, 237134557, 98501963, 168172473]
[93013133, 79078986, 27477927, 85043021, 230887470]
[206045465, 237134557, 98501963, 193035196, 13854720]
[93013133, 79078986, 20365635, 126967462, 8464256]
[206045465, 237134557, 98501963, 193035196, 190937404]
[93013133, 79078986, 20365635, 126967462, 77175813]
[206045465, 237134557, 98501963, 193035196, 160232631]
[206045465, 237134557, 150819137, 109197033, 202834535]
[93013133, 79078986, 20365635, 126967462, 13403276]
[206045465, 25751687, 125958478, 194460356, 107934494]
[93013133, 79078986, 20365635, 126967462, 136543632]
[206045465, 25751687, 125958478, 78296307, 64585473]
[93013133, 79078986, 27477927, 151118393, 203366466]
[206045465, 25751687, 125958478, 194460356, 146419241]
[93013133, 79078986, 20365635, 126302347, 79104776]
[206045465, 25751687, 125958478, 78296307, 85138807]
[93013133, 79078986, 20365635, 126302347, 34404296]
[93013133, 79078986, 20365635, 126302347, 129012526]
[93013133, 79078986, 20365635, 126302347, 69869901]
[93013133, 79078986, 20365635, 126967462, 184199607]
[93013133, 79078986, 27477927, 85043021, 126676084]
[206045465, 237134557, 98501963, 110075647]
[206045465, 25751687, 125958478, 78296307, 205456903]
[206045465, 237134557, 98501963, 116230764]
[93013133, 79078986, 27477927, 85043021, 172621553]
[93013133, 79078986, 27477927, 85043021, 64365743]
[206045465, 25751687, 125958478, 78296307, 90124368]
[206045465, 237134557, 98501963, 124499918]
[206045465, 237134557, 98501963, 193035196, 94989422]
[206045465, 25751687, 125958478, 194460356, 69174432]
[93013133, 79078986, 20365635, 126302347, 67338996]
[93013133, 79078986, 27477927, 146897913, 79490700]
[93013133, 79078986, 20365635, 126302347, 212030854]
[93013133, 79078986, 27477927, 146897913, 228409925]
[93013133, 79078986, 20365635, 126302347, 19110385]
[206045465, 237134557, 98501963, 68255930]
[93013133, 79078986, 20365635, 126302347, 189385739]
[206045465, 25751687, 125958478, 78296307, 114646540]
[206045465, 237134557, 98501963, 185192414]
[206045465, 237134557, 98501963, 127718439]
[93013133, 79078986, 27477927, 146897913, 241809813]
[93013133, 79078986, 20365635, 126967462, 166167921]
[206045465, 237134557, 98501963, 193035196, 104563099]
[206045465, 237134557, 98501963, 193035196, 16675267]
[206045465, 25751687, 125958478, 194460356, 14477026]
[206045465, 237134557, 150819137, 109197033, 82292291]
[93013133, 79078986, 20365635, 126302347, 67945368]
[93013133, 79078986, 20365635, 126302347, 226891699]
[206045465, 237134557, 98501963, 135740433]
[93013133, 79078986, 27477927, 146897913, 241056912]
[206045465, 25751687, 125958478, 78296307, 121774414]
[206045465, 25751687, 125958478, 78296307, 70141676]
[206045465, 237134557, 150819137, 109197033, 167053017]
[206045465, 25751687, 125958478, 78296307, 75848139]
[93013133, 79078986, 20365635, 126302347, 57190914]
[93013133, 79078986, 27477927, 85043021, 209367692]
[206045465, 237134557, 98501963, 240453923]
[93013133, 79078986, 20365635, 126302347, 11956522]
[93013133, 79078986, 27477927, 151118393, 95490587]
[206045465, 237134557, 98501963, 10046391]
[93013133, 79078986, 20365635, 126302347, 187335402]
[206045465, 237134557, 98501963, 193035196, 123508057]
[93013133, 79078986, 27477927, 85043021, 86918730]
[93013133, 79078986, 20365635, 126302347, 158752927]
[93013133, 79078986, 20365635, 126302347, 136630442]
[93013133, 79078986, 27477927, 151118393, 194694364]
[93013133, 79078986, 27477927, 151118393, 245943927]
[206045465, 237134557, 98501963, 92182928]
[93013133, 79078986, 27477927, 85043021, 10048341]
[206045465, 237134557, 150819137, 109197033, 40768324]
[206045465, 237134557, 98501963, 193035196, 103774485]
[206045465, 237134557, 150819137, 109197033, 205958627]
[93013133, 79078986, 27477927, 85043021, 204010262]
[93013133, 79078986, 20365635, 126302347, 82838620]
[93013133, 79078986, 20365635, 126967462, 51879978]
[93013133, 79078986, 27477927, 151118393, 26882641]
[206045465, 237134557, 98501963, 193035196, 189909480]
[206045465, 237134557, 150819137, 109197033, 129985225]
[206045465, 237134557, 98501963, 97960835]
[206045465, 237134557, 150819137, 109197033, 189449755]
[93013133, 79078986, 20365635, 126967462, 204064551]
[93013133, 79078986, 20365635, 126302347, 17225939]
[206045465, 237134557, 98501963, 176246261]
[206045465, 237134557, 150819137, 109197033, 53908698]
[93013133, 79078986, 27477927, 146897913, 142175476]
[206045465, 237134557, 98501963, 193035196, 219173755]
[93013133, 79078986, 27477927, 146897913, 104581148]
[206045465, 237134557, 98501963, 193035196, 109439942]
[206045465, 237134557, 150819137, 109197033, 63438985]
[206045465, 237134557, 98501963, 193035196, 46517866]
[206045465, 25751687, 125958478, 194460356, 5864618]
[93013133, 79078986, 20365635, 126302347, 25420099]
[206045465, 237134557, 98501963, 75662031]
[93013133, 79078986, 20365635, 126302347, 176976787]
[93013133, 79078986, 20365635, 126302347, 165199723]
[206045465, 237134557, 150819137, 109197033, 8827029]
[206045465, 237134557, 98501963, 160612050]
[206045465, 25751687, 125958478, 78296307, 74779710]
[206045465, 25751687, 125958478, 78296307, 63910556]
[93013133, 79078986, 27477927, 151118393, 24889450]
[93013133, 79078986, 27477927, 85043021, 39867058]
[93013133, 79078986, 20365635, 126967462, 235544364]
[93013133, 79078986, 27477927, 151118393, 247577876]
[206045465, 25751687, 125958478, 78296307, 163716565]
[93013133, 79078986, 20365635, 126967462, 32345642]
[206045465, 237134557, 98501963, 193035196, 196208597]
[93013133, 79078986, 20365635, 126302347, 110192226]
[93013133, 79078986, 27477927, 85043021, 106173218]
[206045465, 25751687, 125958478, 194460356, 56833212]
[206045465, 237134557, 98501963, 193035196, 80156435]
[206045465, 25751687, 125958478, 194460356, 88950867]
[206045465, 237134557, 98501963, 193035196, 126087855]
[206045465, 237134557, 98501963, 168439381]
[206045465, 25751687, 125958478, 78296307, 190424756]
[93013133, 79078986, 27477927, 146897913, 18914043]
[206045465, 25751687, 125958478, 78296307, 194392155]
[206045465, 237134557, 98501963, 202642746]
[93013133, 79078986, 27477927, 85043021, 146406635]
[93013133, 79078986, 27477927, 151118393, 215138]
[93013133, 79078986, 20365635, 126302347, 145752994]
[93013133, 79078986, 20365635, 126302347, 190629628]
[206045465, 237134557, 98501963, 69400002]
[206045465, 25751687, 125958478, 194460356, 182176754]
[206045465, 237134557, 150819137, 109197033, 19302780]
[206045465, 237134557, 98501963, 152221557]
[206045465, 237134557, 98501963, 149090552]
[93013133, 79078986, 27477927, 151118393, 229463464]
[93013133, 79078986, 20365635, 126967462, 50047651]
[93013133, 79078986, 20365635, 126302347, 151627487]
[93013133, 79078986, 27477927, 85043021, 229949919]
[206045465, 237134557, 98501963, 214692189]
[206045465, 25751687, 125958478, 194460356, 204147738]
[206045465, 237134557, 98501963, 173035244]
[206045465, 25751687, 125958478, 194460356, 162261116]
[93013133, 79078986, 27477927, 146897913, 74351876]
[206045465, 237134557, 150819137, 109197033, 128103721]
[206045465, 25751687, 125958478, 78296307, 11276589]
[93013133, 79078986, 27477927, 151118393, 49010074]
[93013133, 79078986, 20365635, 126967462, 126679821]
[206045465, 25751687, 125958478, 78296307, 46444899]
[93013133, 79078986, 20365635, 126302347, 135188360]
[93013133, 79078986, 27477927, 151118393, 127745217]
[93013133, 79078986, 27477927, 151118393, 212553646]
[206045465, 25751687, 125958478, 78296307, 153782742]
[93013133, 79078986, 27477927, 85043021, 10349311]
[93013133, 79078986, 27477927, 151118393, 2733610]
[206045465, 25751687, 125958478, 194460356, 156580482]
[206045465, 237134557, 98501963, 193035196, 177993707]
[206045465, 25751687, 125958478, 194460356, 109822641]
[206045465, 25751687, 125958478, 78296307, 129936016]
[206045465, 25751687, 125958478, 194460356, 161592456]
[206045465, 237134557, 98501963, 193035196, 85774167]
[206045465, 25751687, 125958478, 78296307, 181504850]
[93013133, 79078986, 20365635, 126967462, 56777096]
[206045465, 237134557, 150819137, 109197033, 50086895]
[206045465, 237134557, 98501963, 193035196, 79747712]
[206045465, 25751687, 125958478, 194460356, 222130724]
[206045465, 237134557, 150819137, 109197033, 162415063]
[93013133, 79078986, 27477927, 151118393, 202426383]
[206045465, 25751687, 125958478, 78296307, 227026728]
[206045465, 237134557, 98501963, 193035196, 207094643]
[206045465, 237134557, 150819137, 109197033, 204569191]
[206045465, 237134557, 98501963, 193035196, 199871179]
[206045465, 237134557, 150819137, 109197033, 46901204]
[206045465, 237134557, 98501963, 51860165]
[93013133, 79078986, 27477927, 85043021, 110846825]
[206045465, 237134557, 98501963, 156010436]
[93013133, 79078986, 27477927, 85043021, 58298088]
[93013133, 79078986, 27477927, 151118393, 121735530]
[206045465, 237134557, 150819137, 109197033, 159082674]
[206045465, 237134557, 98501963, 193035196, 28534910]
[206045465, 237134557, 150819137, 109197033, 2653827]
[206045465, 237134557, 98501963, 193035196, 235332718]
[93013133, 79078986, 20365635, 126967462, 209831246]
[206045465, 237134557, 150819137, 109197033, 40392222]
[93013133, 79078986, 27477927, 151118393, 11220048]
[206045465, 237134557, 98501963, 51722763]
[93013133, 79078986, 20365635, 126302347, 6241319]
[206045465, 237134557, 98501963, 193035196, 154588048]
[206045465, 237134557, 98501963, 26484228]
[206045465, 237134557, 98501963, 215948224]
[93013133, 79078986, 20365635, 126967462, 10827930]
[93013133, 79078986, 20365635, 126967462, 94956447]
[93013133, 79078986, 27477927, 151118393, 27176369]
[93013133, 79078986, 20365635, 126302347, 189469800]
[206045465, 237134557, 150819137, 109197033, 76537261]
[206045465, 25751687, 125958478, 194460356, 237256993]
[93013133, 79078986, 20365635, 126302347, 15235830]
[206045465, 25751687, 125958478, 194460356, 8006789]
[93013133, 79078986, 27477927, 85043021, 5905250]
[206045465, 25751687, 125958478, 194460356, 66612666]
[93013133, 79078986, 27477927, 85043021, 150606230]
[93013133, 79078986, 20365635, 126302347, 127951534]
[206045465, 237134557, 98501963, 58012943]
[93013133, 79078986, 27477927, 146897913, 247972050]
[206045465, 237134557, 98501963, 193035196, 52408443]
[206045465, 237134557, 98501963, 243527767]
[93013133, 79078986, 20365635, 126302347, 56447863]
[206045465, 237134557, 150819137, 109197033, 202441093]
[93013133, 79078986, 20365635, 126967462, 61811004]
[206045465, 25751687, 125958478, 194460356, 219127027]
[93013133, 79078986, 27477927, 151118393, 210525547]
[93013133, 79078986, 20365635, 126967462, 208039285]
[93013133, 79078986, 20365635, 126302347, 212933145]
[206045465, 25751687, 125958478, 194460356, 20969644]
[206045465, 237134557, 98501963, 193035196, 197860388]
[93013133, 79078986, 20365635, 126302347, 237047660]
[206045465, 25751687, 125958478, 194460356, 177026582]
[206045465, 25751687, 125958478, 194460356, 242751125]
[93013133, 79078986, 20365635, 126302347, 27906046]
[206045465, 25751687, 125958478, 78296307, 170268333]
[206045465, 237134557, 150819137, 109197033, 84029275]
[206045465, 237134557, 150819137, 109197033, 243028932]
[206045465, 25751687, 125958478, 194460356, 108335006]
[206045465, 237134557, 98501963, 30723635]
[206045465, 25751687, 125958478, 78296307, 211125404]
[93013133, 79078986, 27477927, 146897913, 169856797]
[93013133, 79078986, 27477927, 146897913, 169070125]
[206045465, 237134557, 98501963, 57030670]
[93013133, 79078986, 27477927, 146897913, 92830277]
[206045465, 237134557, 98501963, 193035196, 81726258]
[93013133, 79078986, 20365635, 126967462, 207761899]
[93013133, 79078986, 27477927, 146897913, 149530641]
[93013133, 79078986, 27477927, 151118393, 230160586]
[206045465, 237134557, 98501963, 111449996]
[93013133, 79078986, 27477927, 85043021, 4076789]
[93013133, 79078986, 27477927, 85043021, 21608455]
[93013133, 79078986, 20365635, 126302347, 173559427]
[206045465, 25751687, 125958478, 194460356, 196412308]
[206045465, 237134557, 98501963, 193035196, 33034370]
[93013133, 79078986, 20365635, 126302347, 165092810]
[93013133, 79078986, 20365635, 126967462, 96421707]
[206045465, 237134557, 150819137, 109197033, 50865341]
[206045465, 237134557, 98501963, 229709538]
[93013133, 79078986, 27477927, 151118393, 162491901]
